,Vaka Sayısı (x),Vefat Sayısı (y)
7 Mayıs 2020 (Hafta 1),6.9,1.1
14 Mayıs 2020 (Hafta 2),28,0.57
21 Mayıs 2020 (Hafta 3),18,0.57
28 Mayıs 2020 (Hafta 4),37,0.71
4 Haziran 2020 (Hafta 5),38,0.57
11 Haziran 2020 (Hafta 6),48,0.57
18 Haziran 2020 (Hafta 7),43,0.57
25 Haziran 2020 (Hafta 8),42,0.43
2 Temmuz 2020 (Hafta 9),52,0
9 Temmuz 2020 (Hafta 10),53,0.86
15 Temmuz 2020 (Hafta 11),48,0.57
22 Temmuz 2020 (Hafta 12),44,0.86
29 Temmuz 2020 (Hafta 13),47,0.43
5 Ağustos 2020 (Hafta 14),31,0.29
12 Ağustos 2020 (Hafta 15),51,0.43
19 Ağustos 2020 (Hafta 16),257,0.29
26 Ağustos 2020 (Hafta 17),344,0.43
3 Eylül 2020 (Hafta 18),252,2.1
10 Eylül 2020 (Hafta 19),154,2.7
17 Eylül 2020 (Hafta 20),123,3.9
24 Eylül 2020 (Hafta 21),96,3
1 Ekim 2020 (Hafta 22),71,3
8 Ekim 2020 (Hafta 23),75,1.7
15 Ekim 2020 (Hafta 24),80,1.9
22 Ekim 2020 (Hafta 25),95,2
29 Ekim 2020 (Hafta 26),98,1.1
5 Kasım 2020 (Hafta 27),116,1.9
12 Kasım 2020 (Hafta 28),134,1.7
19 Kasım 2020 (Hafta 29),269,1.9
26 Kasım 2020 (Hafta 30),410,2.1
3 Aralık 2020 (Hafta 31),492,2.9
10 Aralık 2020 (Hafta 32),636,5.1
17 Aralık 2020 (Hafta 33),961,11
24 Aralık 2020 (Hafta 34),1036,18
31 Aralık 2020 (Hafta 35),1000,21
7 Ocak 2021 (Hafta 36),798,23
14 Ocak 2021 (Hafta 37),555,19
21 Ocak 2021 (Hafta 38),432,16
28 Ocak 2021 (Hafta 39),448,10
4 Şubat 2021 (Hafta 40),391,8.6
11 Şubat 2021 (Hafta 41),387,6.9
18 Şubat 2021 (Hafta 42),470,6.1
25 Şubat 2021 (Hafta 43),399,5
4 Mart 2021 (Hafta 44),388,6
11 Mart 2021 (Hafta 45),435,5
18 Mart 2021 (Hafta 46),439,6.1
25 Mart 2021 (Hafta 47),430,3.7
1 Nisan 2021 (Hafta 48),489,3
8 Nisan 2021 (Hafta 49),582,3.9
15 Nisan 2021 (Hafta 50),646,4.2
22 Nisan 2021 (Hafta 51),667,3
29 Nisan 2021 (Hafta 52),650,2.4
6 Mayıs 2021 (Hafta 53),577,4.6
13 Mayıs 2021 (Hafta 54),619,4.6
20 Mayıs 2021 (Hafta 55),614,4.1
27 Mayıs 2021 (Hafta 56),603,3.8
3 Haziran 2021 (Hafta 57),565,3.3
10 Haziran 2021 (Hafta 58),572,1.7
17 Haziran 2021 (Hafta 59),483,2.1
24 Haziran 2021 (Hafta 60),507,1.9